date,time,enddate,endtime,description,location,library,status
"Wednesday, June 28, 2017",9:00 AM,"Wednesday, June 28, 2017",10:30 AM,Library Leadership Team Meeting,Meeting Room D,Chapel Hill Public Library,Approved
"Wednesday, June 28, 2017",9:00 AM,"Wednesday, June 28, 2017",11:00 AM,scanning,Digital Media Lab Workstation 1,Chapel Hill Public Library,Approved
"Wednesday, June 28, 2017",10:00 AM,"Wednesday, June 28, 2017",1:00 PM,Communications Training,Meeting Room B,Chapel Hill Public Library,Approved
"Wednesday, June 28, 2017",11:00 AM,"Wednesday, June 28, 2017",4:00 PM,Open Enrollment Meetings,Meeting Room A,Chapel Hill Public Library,Approved
"Wednesday, June 28, 2017",12:00 PM,"Wednesday, June 28, 2017",4:30 PM,Young Writers' Camp,Meeting Room C,Chapel Hill Public Library,Approved
"Wednesday, June 28, 2017",1:30 PM,"Wednesday, June 28, 2017",2:30 PM,July 4 Event - donation meeting,Meeting Room D,Chapel Hill Public Library,Approved
"Wednesday, June 28, 2017",2:00 PM,"Wednesday, June 28, 2017",3:00 PM,ELL Placeholder,Meeting Room B,Chapel Hill Public Library,Approved
"Wednesday, June 28, 2017",3:00 PM,"Wednesday, June 28, 2017",4:00 PM,Open Data/Business Management,Meeting Room D,Chapel Hill Public Library,Approved
"Wednesday, June 28, 2017",4:00 PM,"Wednesday, June 28, 2017",5:00 PM,Open Data / BMD,Meeting Room D,Chapel Hill Public Library,Approved
"Wednesday, June 28, 2017",5:00 PM,"Wednesday, June 28, 2017",6:00 PM,test,Digital Media Lab Workstation 1,Chapel Hill Public Library,Approved
"Wednesday, June 28, 2017",5:00 PM,"Wednesday, June 28, 2017",6:00 PM,test,Digital Media Lab Workstation 2,Chapel Hill Public Library,Approved
"Wednesday, June 28, 2017",6:00 PM,"Wednesday, June 28, 2017",8:00 PM,Dance practice,Meeting Room B,Chapel Hill Public Library,Approved
"Wednesday, June 28, 2017",6:30 PM,"Wednesday, June 28, 2017",8:00 PM,"Community, Intergenerational workshop on coherent communication",Meeting Room A,Chapel Hill Public Library,Approved
"Thursday, June 29, 2017",8:30 AM,"Thursday, June 29, 2017",11:00 AM,Open Enrollment Meetings,Meeting Room A,Chapel Hill Public Library,Approved
"Thursday, June 29, 2017",10:00 AM,"Thursday, June 29, 2017",12:00 PM,Chapel Hill Parks and Recreation Fall Field assigment meeting,Meeting Room C,Chapel Hill Public Library,Approved
"Thursday, June 29, 2017",12:00 PM,"Thursday, June 29, 2017",6:00 PM,Summer placholder,Meeting Room B,Chapel Hill Public Library,Approved
"Thursday, June 29, 2017",12:00 PM,"Thursday, June 29, 2017",4:30 PM,Young Writers' Camp,Meeting Room C,Chapel Hill Public Library,Approved
"Thursday, June 29, 2017",2:00 PM,"Thursday, June 29, 2017",3:00 PM,Mentoring Meeting w Business client,Meeting Room D,Chapel Hill Public Library,Approved
"Thursday, June 29, 2017",3:30 PM,"Thursday, June 29, 2017",4:30 PM,Audio Production for school project,Digital Media Lab Workstation 1,Chapel Hill Public Library,Approved
"Thursday, June 29, 2017",5:00 PM,"Thursday, June 29, 2017",6:00 PM,video,Meeting Room A,Chapel Hill Public Library,Approved
"Thursday, June 29, 2017",6:00 PM,"Thursday, June 29, 2017",8:00 PM,video,Meeting Room B,Chapel Hill Public Library,Approved
"Friday, June 30, 2017",10:30 AM,"Friday, June 30, 2017",12:00 PM,CHPD retirement event,Meeting Room B,Chapel Hill Public Library,Approved
"Friday, June 30, 2017",11:00 AM,"Friday, June 30, 2017",3:00 PM,"Meeting with a group of some of my former students to play a board game.  If there are smaller spaces available for 7-8 people at the same time, we are fine with moving.



Thanks!",Meeting Room A,Chapel Hill Public Library,Approved
"Friday, June 30, 2017",12:00 PM,"Friday, June 30, 2017",4:30 PM,Young Writers' Camp,Meeting Room C,Chapel Hill Public Library,Approved
"Friday, June 30, 2017",12:00 PM,"Friday, June 30, 2017",2:00 PM,meeting,Meeting Room D,Chapel Hill Public Library,Approved
"Friday, June 30, 2017",12:30 PM,"Friday, June 30, 2017",5:00 PM,Family Movie series,Meeting Room B,Chapel Hill Public Library,Approved
"Friday, June 30, 2017",2:00 PM,"Friday, June 30, 2017",3:30 PM,Audio Production for summer project,Digital Media Lab Workstation 1,Chapel Hill Public Library,Pending
"Friday, June 30, 2017",3:30 PM,"Friday, June 30, 2017",6:00 PM,Photo Digitization,Digital Media Lab Workstation 1,Chapel Hill Public Library,Approved
